Index,Latitude,Longitude
172,31.97484,34.79903
173,31.9701,34.794651
174,31.97864,34.80032
175,31.957581,34.792969
176,31.94886,34.81345
177,31.97275,34.800381
178,31.970671,34.808418
179,31.969339,34.78326
180,31.9827,34.782188
181,31.94924,34.812309
182,31.962681,34.77195
183,30.902941,34.860794
184,31.985241,34.783611
185,31.970461,34.7798
186,31.995399,34.741032
187,31.96965,34.76675
188,31.97415,34.777561
189,31.978979,34.77261
190,31.963181,34.777908
191,31.979601,34.765282
192,31.996571,34.740021
193,31.98909,34.81057
194,31.96941,34.783009
195,31.974621,34.771679
196,32.02094,34.74899
197,32.01598,34.74638
198,31.77844,35.21941
199,32.01339,34.74918
200,32.024349,34.748989
201,32.013988,34.760429
202,32.014679,34.749859
203,32.020481,34.74123
204,32.01717,34.753399
205,32.01215,34.75502
206,32.013489,34.740131
207,32.011002,34.746368
208,32.00626,34.750038
209,32.010349,34.74789
210,32.023251,34.742741
211,32.0285,34.7519
212,32.019199,34.746891
213,32.017239,34.755508
214,32.004951,34.754211
215,32.009571,34.752621
216,32.015549,34.748589
217,32.027962,34.75732
218,32.00766,34.74263
219,32.01709,34.755501
220,32.007549,34.74567
221,32.008209,34.75716
222,32.01004,34.773769
223,32.022781,34.767689
224,32.029739,34.761909
225,32.029739,34.761909
226,32.030499,34.765751
227,32.013191,34.793839
228,31.997431,34.7696
229,32.020519,34.775501
230,31.99814,34.765228
231,32.009998,34.770142
232,32.011082,34.775669
233,32.015526,34.764084
234,32.014679,34.781269
235,32.015411,34.767269
236,32.010342,34.779179
237,32.017632,34.78455
238,32.019871,34.78513
239,32.011959,34.76329
240,32.023201,34.779839
241,32.015732,34.768311
242,32.026859,34.771938
243,32.015888,34.766361
244,32.003792,34.790291
245,32.027679,34.763279
246,32.027481,34.778461
247,32.017792,34.76326
248,32.006851,34.780441
249,32.021091,34.780499
250,32.00629,34.794231
251,32.00877,34.779121
252,32.007778,34.788589
253,32.01918,34.763062
254,32.021332,34.779572
255,32.021049,34.780048
256,32.026669,34.769482
257,32.026669,34.769482
258,32.026669,34.769482
259,32.022469,34.792759
260,32.016472,34.76656
261,32.029369,34.763771
262,32.074829,34.910881
263,32.101749,34.8736
264,32.068439,34.90789
265,32.104012,34.879879
266,32.075901,34.891979
267,32.076241,34.900291
268,32.074429,34.86388
269,32.08477,34.898418
270,32.09833,34.87375
271,32.07771,34.87688
272,32.10089,34.87263
273,32.08761,34.89195
274,32.07222,34.86286
275,32.07337,34.86376
276,32.07548,34.88747
277,32.08073,34.88652
278,32.09998,34.88452
279,32.07722,34.87686
280,32.08308,34.87431
281,32.07125,34.89483
282,32.1063,34.87145
283,32.09984,34.8979
284,32.09492,34.87916
285,32.08046,34.86669
286,32.10209,34.87575
287,32.084,34.86184
288,32.09895,34.88097
289,32.09833,34.87375
290,32.08772,34.89476
291,32.10821,34.87801
292,32.08816,34.87931
293,32.07636,34.92329
294,43.043617,-89.259151
295,32.07871,34.87679
296,32.09521,34.88358
297,32.0729,34.90272
298,32.09115,34.89452
